message,timestamp,severity,tags,attributes
"Setting up pinentry-curses (1.2.1-1) ...
",2026-04-13T06:32:17.11041995Z,info,"{""serviceId"":""319ea0e2-e538-4575-8e20-90d75e4c9bb0"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""stream"":1,""timestamp"":""2026-04-13T06:32:17.11041995Z"",""type"":""log"",""vertex"":""sha256:d4f8bcef45c677fc231a062557c4927df7827b7feb6ca4d03dc3b38c13ebace8""}"
"Setting up libreadline8:amd64 (8.2-1.3) ...
",2026-04-13T06:32:17.138412885Z,info,"{""serviceId"":""319ea0e2-e538-4575-8e20-90d75e4c9bb0"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""stream"":1,""timestamp"":""2026-04-13T06:32:17.138412885Z"",""type"":""log"",""vertex"":""sha256:d4f8bcef45c677fc231a062557c4927df7827b7feb6ca4d03dc3b38c13ebace8""}"
"Setting up libldap-2.5-0:amd64 (2.5.13+dfsg-5) ...
",2026-04-13T06:32:17.150797427Z,info,"{""serviceId"":""319ea0e2-e538-4575-8e20-90d75e4c9bb0"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""stream"":1,""timestamp"":""2026-04-13T06:32:17.150797427Z"",""type"":""log"",""vertex"":""sha256:d4f8bcef45c677fc231a062557c4927df7827b7feb6ca4d03dc3b38c13ebace8""}"
"Setting up ca-certificates (20230311+deb12u1) ...
",2026-04-13T06:32:17.165373762Z,info,"{""serviceId"":""319ea0e2-e538-4575-8e20-90d75e4c9bb0"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""stream"":1,""timestamp"":""2026-04-13T06:32:17.165373762Z"",""type"":""log"",""vertex"":""sha256:d4f8bcef45c677fc231a062557c4927df7827b7feb6ca4d03dc3b38c13ebace8""}"
"debconf: unable to initialize frontend: Dialog
debconf: (TERM is not set, so the dialog frontend is not usable.)
debconf: falling back to frontend: Readline
",2026-04-13T06:32:17.268283316Z,info,"{""serviceId"":""319ea0e2-e538-4575-8e20-90d75e4c9bb0"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""stream"":1,""timestamp"":""2026-04-13T06:32:17.268283316Z"",""type"":""log"",""vertex"":""sha256:d4f8bcef45c677fc231a062557c4927df7827b7feb6ca4d03dc3b38c13ebace8""}"
"debconf: unable to initialize frontend: Readline
debconf: (Can't locate Term/ReadLine.pm in @INC (you may need to install the Term::ReadLine module) (@INC contains: /etc/perl /usr/local/lib/x86_64-linux-gnu/perl/5.36.0 /usr/local/share/perl/5.36.0 /usr/lib/x86_64-linux-gnu/perl5/5.36 /usr/share/perl5 /usr/lib/x86_64-linux-gnu/perl-base /usr/lib/x86_64-linux-gnu/perl/5.36 /usr/share/perl/5.36 /usr/local/lib/site_perl) at /usr/share/perl5/Debconf/FrontEnd/Readline.pm line 7.)
debconf: falling back to frontend: Teletype
",2026-04-13T06:32:17.268905416Z,info,"{""serviceId"":""319ea0e2-e538-4575-8e20-90d75e4c9bb0"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""stream"":1,""timestamp"":""2026-04-13T06:32:17.268905416Z"",""type"":""log"",""vertex"":""sha256:d4f8bcef45c677fc231a062557c4927df7827b7feb6ca4d03dc3b38c13ebace8""}"
"npm warn deprecated node-domexception@1.0.0: Use your platform's native DOMException instead
",2026-04-13T06:32:17.389172257Z,info,"{""serviceId"":""319ea0e2-e538-4575-8e20-90d75e4c9bb0"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""stream"":2,""timestamp"":""2026-04-13T06:32:17.389172257Z"",""type"":""log"",""vertex"":""sha256:4dea30d4053766995d419c54e308b33494738d6dfa619952fecf725bdc0d17fd""}"
"Updating certificates in /etc/ssl/certs...
",2026-04-13T06:32:17.909303679Z,info,"{""serviceId"":""319ea0e2-e538-4575-8e20-90d75e4c9bb0"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""stream"":1,""timestamp"":""2026-04-13T06:32:17.909303679Z"",""type"":""log"",""vertex"":""sha256:d4f8bcef45c677fc231a062557c4927df7827b7feb6ca4d03dc3b38c13ebace8""}"
"142 added, 0 removed; done.
",2026-04-13T06:32:18.934325762Z,info,"{""serviceId"":""319ea0e2-e538-4575-8e20-90d75e4c9bb0"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""stream"":1,""timestamp"":""2026-04-13T06:32:18.934325762Z"",""type"":""log"",""vertex"":""sha256:d4f8bcef45c677fc231a062557c4927df7827b7feb6ca4d03dc3b38c13ebace8""}"
Setting up libgssapi-krb5-2:amd64 (1.20.1-2+deb12u4) ...,2026-04-13T06:32:18.992123795Z,info,"{""serviceId"":""319ea0e2-e538-4575-8e20-90d75e4c9bb0"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""stream"":1,""timestamp"":""2026-04-13T06:32:18.992123795Z"",""type"":""log"",""vertex"":""sha256:d4f8bcef45c677fc231a062557c4927df7827b7feb6ca4d03dc3b38c13ebace8""}"
"
",2026-04-13T06:32:18.992184507Z,info,"{""serviceId"":""319ea0e2-e538-4575-8e20-90d75e4c9bb0"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""stream"":1,""timestamp"":""2026-04-13T06:32:18.992184507Z"",""type"":""log"",""vertex"":""sha256:d4f8bcef45c677fc231a062557c4927df7827b7feb6ca4d03dc3b38c13ebace8""}"
"Setting up gpgconf (2.2.40-1.1+deb12u2) ...
",2026-04-13T06:32:19.006498294Z,info,"{""serviceId"":""319ea0e2-e538-4575-8e20-90d75e4c9bb0"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""stream"":1,""timestamp"":""2026-04-13T06:32:19.006498294Z"",""type"":""log"",""vertex"":""sha256:d4f8bcef45c677fc231a062557c4927df7827b7feb6ca4d03dc3b38c13ebace8""}"
"Setting up libcurl4:amd64 (7.88.1-10+deb12u14) ...
",2026-04-13T06:32:19.01901269Z,info,"{""serviceId"":""319ea0e2-e538-4575-8e20-90d75e4c9bb0"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""stream"":1,""timestamp"":""2026-04-13T06:32:19.01901269Z"",""type"":""log"",""vertex"":""sha256:d4f8bcef45c677fc231a062557c4927df7827b7feb6ca4d03dc3b38c13ebace8""}"
"Setting up curl (7.88.1-10+deb12u14) ...
",2026-04-13T06:32:19.034488993Z,info,"{""serviceId"":""319ea0e2-e538-4575-8e20-90d75e4c9bb0"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""stream"":1,""timestamp"":""2026-04-13T06:32:19.034488993Z"",""type"":""log"",""vertex"":""sha256:d4f8bcef45c677fc231a062557c4927df7827b7feb6ca4d03dc3b38c13ebace8""}"
"Setting up gpg (2.2.40-1.1+deb12u2) ...
",2026-04-13T06:32:19.047573024Z,info,"{""serviceId"":""319ea0e2-e538-4575-8e20-90d75e4c9bb0"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""stream"":1,""timestamp"":""2026-04-13T06:32:19.047573024Z"",""type"":""log"",""vertex"":""sha256:d4f8bcef45c677fc231a062557c4927df7827b7feb6ca4d03dc3b38c13ebace8""}"
"Setting up gnupg-utils (2.2.40-1.1+deb12u2) ...
",2026-04-13T06:32:19.06042299Z,info,"{""serviceId"":""319ea0e2-e538-4575-8e20-90d75e4c9bb0"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""stream"":1,""timestamp"":""2026-04-13T06:32:19.06042299Z"",""type"":""log"",""vertex"":""sha256:d4f8bcef45c677fc231a062557c4927df7827b7feb6ca4d03dc3b38c13ebace8""}"
"Setting up gpg-agent (2.2.40-1.1+deb12u2) ...
",2026-04-13T06:32:19.078988677Z,info,"{""serviceId"":""319ea0e2-e538-4575-8e20-90d75e4c9bb0"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""stream"":1,""timestamp"":""2026-04-13T06:32:19.078988677Z"",""type"":""log"",""vertex"":""sha256:d4f8bcef45c677fc231a062557c4927df7827b7feb6ca4d03dc3b38c13ebace8""}"
"Setting up gpgsm (2.2.40-1.1+deb12u2) ...
",2026-04-13T06:32:19.83924966Z,info,"{""serviceId"":""319ea0e2-e538-4575-8e20-90d75e4c9bb0"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""stream"":1,""timestamp"":""2026-04-13T06:32:19.83924966Z"",""type"":""log"",""vertex"":""sha256:d4f8bcef45c677fc231a062557c4927df7827b7feb6ca4d03dc3b38c13ebace8""}"
"Setting up dirmngr (2.2.40-1.1+deb12u2) ...
",2026-04-13T06:32:19.968224115Z,info,"{""serviceId"":""319ea0e2-e538-4575-8e20-90d75e4c9bb0"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""stream"":1,""timestamp"":""2026-04-13T06:32:19.968224115Z"",""type"":""log"",""vertex"":""sha256:d4f8bcef45c677fc231a062557c4927df7827b7feb6ca4d03dc3b38c13ebace8""}"
"Setting up gpg-wks-server (2.2.40-1.1+deb12u2) ...
",2026-04-13T06:32:20.232717337Z,info,"{""serviceId"":""319ea0e2-e538-4575-8e20-90d75e4c9bb0"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""stream"":1,""timestamp"":""2026-04-13T06:32:20.232717337Z"",""type"":""log"",""vertex"":""sha256:d4f8bcef45c677fc231a062557c4927df7827b7feb6ca4d03dc3b38c13ebace8""}"
"Setting up gpg-wks-client (2.2.40-1.1+deb12u2) ...
",2026-04-13T06:32:20.518968169Z,info,"{""serviceId"":""319ea0e2-e538-4575-8e20-90d75e4c9bb0"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""stream"":1,""timestamp"":""2026-04-13T06:32:20.518968169Z"",""type"":""log"",""vertex"":""sha256:d4f8bcef45c677fc231a062557c4927df7827b7feb6ca4d03dc3b38c13ebace8""}"
"Setting up gnupg (2.2.40-1.1+deb12u2) ...
",2026-04-13T06:32:20.623056309Z,info,"{""serviceId"":""319ea0e2-e538-4575-8e20-90d75e4c9bb0"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""stream"":1,""timestamp"":""2026-04-13T06:32:20.623056309Z"",""type"":""log"",""vertex"":""sha256:d4f8bcef45c677fc231a062557c4927df7827b7feb6ca4d03dc3b38c13ebace8""}"
"Processing triggers for libc-bin (2.36-9+deb12u13) ...
",2026-04-13T06:32:20.69276314Z,info,"{""serviceId"":""319ea0e2-e538-4575-8e20-90d75e4c9bb0"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""stream"":1,""timestamp"":""2026-04-13T06:32:20.69276314Z"",""type"":""log"",""vertex"":""sha256:d4f8bcef45c677fc231a062557c4927df7827b7feb6ca4d03dc3b38c13ebace8""}"
"Processing triggers for ca-certificates (20230311+deb12u1) ...
",2026-04-13T06:32:20.840047859Z,info,"{""serviceId"":""319ea0e2-e538-4575-8e20-90d75e4c9bb0"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""stream"":1,""timestamp"":""2026-04-13T06:32:20.840047859Z"",""type"":""log"",""vertex"":""sha256:d4f8bcef45c677fc231a062557c4927df7827b7feb6ca4d03dc3b38c13ebace8""}"
"Updating certificates in /etc/ssl/certs...
",2026-04-13T06:32:20.866196968Z,info,"{""serviceId"":""319ea0e2-e538-4575-8e20-90d75e4c9bb0"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""stream"":1,""timestamp"":""2026-04-13T06:32:20.866196968Z"",""type"":""log"",""vertex"":""sha256:d4f8bcef45c677fc231a062557c4927df7827b7feb6ca4d03dc3b38c13ebace8""}"
